unnamed:_0;food;makanan_indonesia;caloric_value;fat;saturated_fats;monounsaturated_fats;polyunsaturated_fats;carbohydrates;sugars;protein;dietary_fiber;cholesterol;sodium;water;vitamin_a;vitamin_b1;vitamin_b11;vitamin_b12;vitamin_b2;vitamin_b3;vitamin_b5;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;vitamin_k;calcium;copper;iron;magnesium;manganese;phosphorus;potassium;selenium;zinc;nutrition_density
491;swordfish cooked;ikan pedang dimasak;182;8.4;2.0;3.8;1.5;0.0;0.0;24.9;0.0;82.7;0.1;72.4;0.075;0.078;0.094;0.048;0.005;0.01;9.8;0.4;0.7;0.0;0.038;2.6;0.022;6.4;0.045;0.5;37.1;0.041;322.2;528.9;0.028;34.203
492;american shad raw;American Shad Raw;362;25.3;5.8;10.5;6.0;0.0;0.0;31.2;0.0;138.0;0.001;125.5;0.009;0.3;0.096;0.057;0.4;15.5;1.4;0.7;0.0;0.097;2.2;0.019;86.5;0.1;1.8;55.2;0.017;500.5;706.6;0.092;0.7;144.868
493;sardine canned in oil;sarden kaleng dalam minyak;310;17.1;2.3;5.8;7.7;0.0;0.0;36.7;0.0;211.6;0.5;88.8;0.051;0.1;0.067;0.075;0.3;7.8;1.0;0.2;0.0;0.04;3.0;0.063;569.2;0.3;4.4;58.1;0.2;730.1;591.5;0.077;2.0;627.452
494;anchovy canned in oil;ikan teri kaleng dalam minyak;8;0.4;0.001;0.2;0.1;0.0;0.0;1.2;0.0;3.4;0.1;2.0;0.012;0.0;0.007;0.061;0.071;0.8;0.008;0.082;0.0;0.07;0.1;0.013;9.3;0.097;0.2;2.8;0.005;10.1;21.8;0.023;0.031;11.106
495;salmon canned;Salmon kaleng;520;20.3;5.5;7.1;5.6;0.0;0.0;79.1;0.0;143.9;1.8;261.1;0.064;0.079;0.072;0.055;0.6;25.8;2.1;1.4;0.0;0.0;5.9;0.02;918.8;0.4;2.6;110.7;0.022;1306.3;1107.0;0.2;3.7;1.020.882
496;sardines in tomato sauce canned;sarden dalam saus tomat kalengan;165;9.3;2.4;4.3;1.9;0.5;0.4;18.6;0.009;54.3;0.4;59.5;0.036;0.014;0.093;0.098;0.2;3.7;0.6;0.1;0.9;0.017;1.2;0.012;213.6;0.2;2.0;30.3;0.2;325.7;303.5;0.024;1.2;244.978
497;sockeye salmon canned;Sockeye Salmon kalengan;563;24.9;4.9;8.4;6.0;0.0;0.0;79.5;0.0;266.2;1.4;229.4;0.2;0.1;0.096;0.014;0.7;25.7;1.8;0.4;0.0;0.09;7.0;0.018;781.8;0.2;2.2;104.5;0.008;1139.1;1058.2;0.1;2.8;888.6
498;tuna canned;tuna kalengan;102;2.4;0.6;0.6;0.9;0.0;0.0;18.9;0.0;33.6;0.3;58.6;0.017;0.032;0.087;0.075;0.079;4.6;0.086;0.2;0.0;0.07;0.7;0.099;11.2;0.099;0.8;26.4;0.078;173.6;189.6;0.025;0.4;33.32
499;pink salmon canned;Salmon merah muda kaleng;530;20.4;3.5;5.0;5.8;0.0;0.0;80.9;0.0;226.1;1.7;304.3;0.025;0.061;0.054;0.031;0.8;26.9;2.3;1.2;0.0;0.018;2.6;0.044;883.7;0.3;2.6;123.3;0.07;1385.1;1413.8;0.1;3.1;987.651
500;cod canned;Cod Canned;328;2.7;0.5;0.4;0.9;0.0;0.0;71.0;0.0;171.6;0.7;235.9;0.046;0.3;0.06;0.04;0.2;7.8;0.5;0.9;3.1;0.066;2.6;0.063;65.5;0.1;1.5;127.9;0.061;811.2;1647.4;0.1;1.8;143.814
501;eastern oyster canned;Oyster timur kaleng;110;4.0;1.0;0.4;1.2;6.3;0.0;11.4;0.0;89.1;0.2;137.9;0.1;0.2;0.009;0.089;0.3;2.0;0.3;0.2;8.1;0.0;1.4;0.056;72.9;7.2;10.9;87.5;0.7;225.2;371.0;0.078;147.3;113.7
502;chum salmon canned;Chum Salmon Canned;520;20.3;5.5;7.1;5.6;0.0;0.0;79.1;0.0;143.9;0.3;261.1;0.014;0.092;0.054;0.012;0.6;25.8;2.1;1.4;0.0;0.0;0.0;0.0;918.8;0.4;2.6;110.7;0.037;1306.3;1107.0;0.2;3.7;1.020.805
503;tuna canned in oil;Tuna kalengan minyak;331;14.4;2.3;5.8;5.3;0.0;0.0;47.2;0.0;55.2;0.7;114.0;0.03;0.044;0.022;0.033;0.1;20.8;0.7;0.8;0.0;0.0;4.1;0.073;7.1;0.2;1.2;60.5;0.081;475.3;592.7;0.1;0.8;69.953
504;wild pink salmon oceans;Samudra Salmon Pink Liar;320;16.0;0.0;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0
505;shrimp canned;Udang kaleng;128;1.7;0.2;0.1;0.9;0.0;0.0;26.1;0.0;322.6;1.1;97.1;0.0;0.039;0.078;0.081;0.099;0.7;0.2;0.054;5.2;0.0;1.4;0.0;185.6;0.3;2.7;42.2;0.5;249.6;102.4;0.036;2.5;221.3
506;alaska king crab raw;Alaska King Crab Raw Raw;144;1.0;0.2;0.1;0.2;0.0;0.0;31.5;0.0;72.2;1.4;136.9;0.048;0.015;0.082;0.004;0.026;1.9;0.6;0.3;12.0;0.0;0.0;0.0;79.1;1.6;1.0;84.3;0.021;376.7;350.9;0.002;10.2;124.608
507;scallops fried;kerang goreng;64;3.2;0.8;2.1;0.1;6.4;0.0;2.6;0.0;18.0;0.2;11.5;0.059;0.049;0.081;0.089;0.1;0.0;0.075;0.013;0.0;0.0;0.0;0.0;3.1;0.099;0.3;5.3;0.008;48.7;49.0;0.032;0.2;15.698
508;shrimp cooked;udang dimasak;7;0.092;0.023;0.003;0.0;0.013;0.0;1.3;0.0;11.6;0.012;3.9;0.021;0.031;0.098;0.077;0.002;0.1;0.026;0.041;0.0;0.08;0.1;0.001;5.0;0.01;0.009;2.0;0.077;16.8;9.4;0.08;0.008;6.398
509;clams fried;kerang goreng;19;1.0;0.3;0.4;0.3;1.0;0.0;1.3;0.0;5.7;0.068;5.8;0.008;0.091;0.059;0.083;0.042;0.2;0.01;0.011;0.9;0.0;0.0;0.0;5.9;0.069;1.3;1.3;0.078;17.7;30.6;0.022;0.1;11.464
510;alaska king crab cooked;Alaska King Crab dimasak;130;2.1;0.2;0.2;0.7;0.0;0.0;25.9;0.0;71.0;1.4;103.9;0.018;0.005;0.002;0.02;0.07;1.8;0.5;0.2;10.2;0.0;0.0;0.0;79.1;1.6;1.0;84.4;0.093;375.2;351.1;0.003;10.2;118.35
511;scallops cooked;Kerang matang;11;0.058;0.092;0.096;0.086;0.5;0.0;2.1;0.0;4.1;0.06;7.0;0.05;0.091;0.011;0.015;0.067;0.049;0.1;0.004;0.032;0.0;0.0;0.0;0.0;1.0;0.057;0.041;3.7;0.004;42.6;31.4;0.042;2.732
512;squid fried;cumi -cumi goreng;140;6.0;1.5;2.2;1.7;6.2;0.0;14.4;0.0;208.0;0.2;51.6;0.035;0.048;0.06;0.05;0.4;2.1;0.4;0.033;3.4;0.0;0.0;0.0;31.2;1.7;0.8;30.4;0.046;200.8;223.2;0.087;1.4;62.028
513;oyster raw;tiram mentah;41;1.2;0.3;0.2;0.4;2.5;0.0;4.7;0.0;25.0;0.059;41.0;0.093;0.052;0.088;0.018;0.1;1.0;0.3;0.026;4.0;0.0;0.0;0.0;4.0;0.8;2.6;11.0;0.3;81.0;84.0;0.1;8.3;19.054
514;abalone;pauhi;89;0.6;0.1;0.02;0.091;5.1;0.0;14.5;0.0;72.3;0.3;63.4;0.056;0.2;0.038;0.057;0.09;1.3;2.6;0.1;1.7;0.0;3.4;0.043;26.4;0.2;2.7;40.8;0.014;161.5;212.5;0.095;0.7;51.092
515;queen crab raw;Ratu Kepiting Raw;25;0.3;0.096;0.027;0.1;0.0;0.0;5.2;0.0;15.6;0.2;22.8;0.093;0.032;0.001;0.082;0.063;0.7;0.024;0.059;2.0;0.0;0.0;0.0;7.4;0.2;0.7;13.9;0.082;37.6;49.0;0.033;0.8;15.607
516;whelk cooked;Whelk dimasak;78;0.2;0.003;0.068;0.037;4.4;0.0;13.5;0.0;36.8;0.1;9.1;0.013;0.076;0.057;0.084;0.055;0.6;0.1;0.2;1.9;0.0;0.0;0.0;32.0;0.6;2.8;48.7;0.3;79.8;196.4;0.047;0.9;54.806
517;oyster cooked;Oyster dimasak;41;1.2;0.3;0.2;0.4;2.5;0.0;4.7;0.0;25.0;0.066;16.0;0.082;0.099;0.005;0.007;0.1;0.9;0.2;0.043;3.2;0.0;0.2;0.047;4.0;0.7;2.3;11.0;0.3;60.8;75.5;0.064;8.3;17.971
518;eastern oyster cooked;Tiram timur dimasak;8;0.2;0.073;0.004;0.018;0.7;0.0;0.7;0.0;3.7;0.038;8.0;0.09;0.02;0.086;0.099;0.012;0.2;0.083;0.023;0.6;0.0;0.0;0.0;5.5;0.1;0.8;3.2;0.081;11.3;14.9;0.011;4.4;8.598
519;blue mussels cooked;Kerang biru dimasak;344;9.0;1.7;2.0;2.4;14.8;0.0;47.6;0.0;112.0;0.7;122.3;0.2;0.6;0.2;0.026;0.8;6.0;1.9;0.2;27.2;0.0;0.0;0.0;66.0;0.3;13.4;74.0;13.6;570.0;536.0;0.2;5.3;178.2
520;octopus raw;gurita mentah;23;0.3;0.002;0.042;0.038;0.6;0.0;4.2;0.0;13.6;0.064;22.7;0.059;0.066;0.009;0.043;0.064;0.6;0.1;0.1;1.4;0.0;0.3;0.074;15.0;0.1;1.5;8.5;0.019;52.6;99.1;0.044;0.5;23.044
521;spiny lobster cooked;Lobster berduri dimasak;233;3.2;0.5;0.6;1.2;5.1;0.0;43.0;0.0;146.7;0.4;108.8;0.06;0.097;0.032;0.068;0.016;8.0;0.7;0.3;3.4;0.0;0.0;0.0;102.7;0.7;2.3;83.1;0.019;373.3;339.0;0.042;11.9;159.731
522;blue mussels raw;Kerang biru mentah;129;3.4;0.6;0.8;0.9;5.5;0.0;17.9;0.0;42.0;0.4;120.9;0.028;0.2;0.095;0.003;0.3;2.4;0.8;0.041;12.0;0.0;0.8;0.012;39.0;0.1;5.9;51.0;5.1;295.5;480.0;0.063;2.4;83.72
523;queen crab cooked;kepiting ratu dimasak;98;1.3;0.2;0.3;0.5;0.0;0.0;20.2;0.0;60.4;0.6;63.8;0.007;0.007;0.029;0.04;0.2;2.5;0.3;0.1;6.1;0.0;0.0;0.0;28.1;0.5;2.4;53.6;0.036;108.8;170.0;0.056;3.1;58.197
524;dungeness crab cooked;Kepiting Dungeness dimasak;140;1.6;0.2;0.3;0.5;1.2;0.0;28.3;0.0;96.5;0.5;93.1;0.06;0.024;0.054;0.039;0.3;4.6;0.5;0.2;4.6;0.0;0.0;0.0;74.9;0.9;0.5;73.7;0.1;222.3;518.2;0.032;6.9;111.171
525;dungeness crab raw;Kepiting Dungeness Raw;140;1.6;0.2;0.3;0.5;1.2;0.0;28.4;0.0;96.2;0.5;129.1;0.026;0.033;0.086;0.017;0.3;5.1;0.6;0.2;5.7;0.0;0.0;0.0;75.0;1.1;0.6;73.4;0.1;296.7;577.0;0.022;7.0;112.564
526;shrimp fried;Udang goreng;52;3.2;0.7;2.0;0.3;4.8;0.086;1.3;0.1;9.9;0.2;7.2;0.01;0.037;0.029;0.075;0.065;0.2;0.0;0.021;0.0;0.0;0.4;0.04;4.9;0.012;0.1;2.7;0.015;31.5;13.9;0.021;0.069;14.433
527;shrimp raw;udang mentah;4;0.023;0.061;0.075;0.009;0.041;0.0;0.7;0.0;6.3;0.083;4.2;0.083;0.092;0.052;0.045;0.081;0.089;0.056;0.025;0.0;0.053;0.035;0.042;2.7;0.079;0.072;1.1;0.004;12.2;5.7;0.002;0.078;3.712
528;blue crab cooked;kepiting biru dimasak;71;0.6;0.2;0.1;0.2;0.0;0.0;15.2;0.0;82.5;0.3;67.7;0.004;0.029;0.036;0.048;0.096;0.033;2.3;0.8;0.1;2.8;0.0;1.6;0.027;77.4;0.7;0.4;30.6;0.087;198.9;220.2;0.076;16.719
529;shrimp imitation;imitasi udang;29;0.4;0.019;0.014;0.2;2.6;0.0;3.5;0.0;10.2;0.2;21.2;0.046;0.02;0.02;0.076;0.085;0.084;0.023;0.005;0.0;0.0;0.0;0.0;5.4;0.053;0.2;12.2;0.08;79.8;25.2;0.088;0.036;12.119
530;conch baked;keong yang dipanggang;165;1.5;0.5;0.4;0.3;2.2;0.0;33.4;0.0;82.6;0.2;88.1;0.099;0.069;0.2;0.088;0.1;1.3;0.0;0.095;0.0;0.0;8.0;0.016;124.5;0.6;1.8;302.3;0.0;275.6;207.0;0.007;2.2;163.446
531;squid raw;Squid Raw;26;0.4;0.1;0.094;0.1;0.9;0.0;4.4;0.0;65.9;0.09;22.2;0.077;0.014;0.043;0.027;0.1;0.6;0.1;0.033;1.3;0.0;0.3;0.0;9.1;0.5;0.2;9.3;0.048;62.5;69.6;0.088;0.4;16.386
532;scallop raw;SCALLOP RAW;10;0.091;0.089;0.026;0.005;0.5;0.0;1.8;0.0;3.6;0.057;12.4;0.084;0.031;0.035;0.095;0.015;0.1;0.098;0.049;0.0;0.0;0.0;0.0;0.9;0.081;0.068;3.3;0.069;50.1;30.8;0.098;0.1;3.417
533;lobster raw;lobster mentah;116;1.1;0.3;0.3;0.4;0.0;0.0;24.8;0.0;190.5;0.6;121.4;0.092;0.025;0.033;0.005;0.086;2.4;2.2;0.2;0.0;0.0;1.3;0.0;126.0;2.0;0.4;57.0;0.022;241.5;300.0;0.047;5.3;152.362
534;scallop imitation;imitasi scallop;28;0.1;0.065;0.085;0.098;3.0;0.0;3.6;0.0;6.2;0.2;20.9;0.008;0.079;0.046;0.04;0.017;0.091;0.09;0.045;0.0;0.0;0.0;0.0;2.3;0.067;0.058;12.2;0.034;79.8;29.1;0.095;0.019;9.105
535;blue crab raw;kepiting biru mentah;18;0.2;0.067;0.048;0.063;0.018;0.0;3.8;0.0;16.4;0.079;16.6;0.069;0.098;0.082;0.009;0.021;0.6;0.079;0.073;0.6;0.0;0.0;0.0;18.7;0.1;0.2;7.1;0.019;48.1;69.1;0.07;0.7;23.615
536;whelk raw;Whelk Raw;39;0.1;0.096;0.067;0.005;2.2;0.0;6.7;0.0;18.4;0.073;18.7;0.043;0.089;0.027;0.021;0.088;0.3;0.037;0.097;1.1;0.0;0.013;0.028;16.1;0.3;1.4;24.3;0.1;39.9;98.2;0.011;0.5;27.678
537;spiny lobster raw;lobster berduri mentah;234;3.2;0.5;0.6;1.2;5.1;0.0;43.1;0.0;146.3;0.4;154.8;0.025;0.071;0.094;0.008;0.043;8.9;0.7;0.3;4.2;0.0;0.0;0.0;102.4;0.8;2.5;83.6;0.033;497.4;376.2;0.055;11.9;160.501
538;clams canned;kerang kaleng;227;2.5;0.5;0.3;0.5;9.4;0.0;38.8;0.0;80.0;0.2;104.4;0.2;0.031;0.099;0.01;0.1;0.9;0.4;0.071;0.0;0.063;1.8;0.037;104.0;0.1;4.3;51.2;0.2;523.2;1004.8;0.089;1.3;159.2
539;lobster cooked;Lobster dimasak;134;1.3;0.3;0.4;0.5;0.0;0.0;28.5;0.0;219.0;0.7;117.2;0.077;0.074;0.077;0.071;0.099;0.031;2.7;2.5;0.2;0.0;0.0;1.5;0.0;144.0;2.3;0.4;64.5;0.049;277.5;345.0;0.1;32.314
540;eastern oyster fried;Tiram timur digoreng;29;1.8;0.5;0.7;0.5;1.7;0.0;1.3;0.0;10.4;0.015;9.4;0.0;0.026;0.003;0.016;0.084;0.2;0.081;0.007;0.6;0.0;0.0;0.0;9.1;0.6;1.0;8.5;0.063;23.2;35.6;0.092;12.7;15.5
541;clams raw;kerang mentah;195;2.2;0.4;0.3;0.4;8.1;0.0;33.3;0.0;68.1;1.4;179.3;0.2;0.098;0.095;0.064;0.001;0.8;0.3;0.0;0.0;0.0;1.5;0.032;88.5;0.1;3.7;43.1;0.2;449.5;104.4;0.041;1.2;136.0
542;octopus cooked;Gurita dimasak;139;1.8;0.4;0.3;0.4;3.7;0.0;25.3;0.0;81.6;0.4;51.4;0.09;0.075;0.016;0.031;0.079;3.2;0.8;0.6;6.8;0.0;1.0;0.088;90.1;0.6;8.1;51.0;0.013;237.2;535.5;0.054;2.9;135.853
543;eastern oyster raw;Raw Oyster Timur;8;0.2;0.0;0.087;0.091;0.8;0.0;0.7;0.0;3.5;0.021;12.1;0.069;0.086;0.013;0.095;0.012;0.2;0.076;0.077;0.7;0.0;0.0;0.0;6.2;0.1;0.8;4.6;0.028;13.0;17.4;0.065;5.3;9.448
544;oyster fried;Oyster Fried;61;3.0;0.8;1.2;0.8;6.7;0.0;2.1;0.0;18.1;0.1;11.1;0.036;0.039;0.035;0.081;0.02;0.7;0.2;0.019;0.7;0.0;0.0;0.0;4.6;0.1;0.7;3.9;0.015;32.7;30.4;0.074;2.6;17.861
545;sturgeon smoked;Sturgeon merokok;49;1.2;0.3;0.7;0.1;0.0;0.0;8.8;0.0;22.6;0.2;17.7;0.02;0.026;0.006;0.011;0.078;3.1;0.3;0.09;0.0;0.048;0.1;0.022;4.8;0.06;0.3;13.3;0.042;79.5;107.3;0.077;0.2;15.175
546;chinook salmon smoked;Chinook Salmon merokok;159;5.9;1.3;2.8;1.4;0.0;0.0;24.9;0.0;31.3;1.1;97.9;0.019;0.01;0.019;0.007;0.1;6.4;1.2;0.4;0.0;0.09;1.8;0.039;15.0;0.3;1.2;24.5;0.055;223.0;238.0;0.027;0.4;47.038
547;cisco smoked;Cisco merokok;50;3.4;0.5;1.6;0.6;0.0;0.0;4.6;0.0;9.1;0.1;19.8;0.05;0.079;0.031;0.04;0.0;0.7;0.009;0.08;0.0;0.047;0.098;0.094;7.4;0.015;0.1;4.8;0.047;42.5;82.9;0.05;0.076;15.576
548;haddock smoked;Haddock merokok;33;0.3;0.049;0.006;0.055;0.0;0.0;7.1;0.0;21.8;0.2;20.2;0.087;0.05;0.079;0.08;0.094;1.4;0.094;0.1;0.0;0.074;0.2;0.078;13.9;0.001;0.4;15.3;0.075;71.0;117.4;0.063;0.1;21.719
549;whitefish smoked;ikan putih merokok;147;1.3;0.3;0.4;0.4;0.0;0.0;31.8;0.0;44.9;1.4;96.3;0.086;0.08;0.082;0.017;0.1;3.3;0.1;0.5;0.0;0.078;0.3;0.097;24.5;0.4;0.7;31.3;0.091;179.5;575.3;0.03;0.7;58.398
550;red salmon sockeye filets smoked;Filet sockeye salmon merah merokok;373;12.3;2.8;4.3;3.7;0.0;0.0;65.5;0.0;167.4;0.065;25.8;0.047;0.5;0.078;0.088;0.6;24.6;3.0;0.9;0.0;0.0;1.3;0.0;62.6;0.2;1.1;62.6;0.048;702.0;1036.8;0.026;1.2;141.587
551;nectarine;nektarin;66;0.5;0.066;0.1;0.2;15.8;11.8;1.6;2.6;0.0;0.0;131.4;0.0;0.0;0.026;0.037;0.0;0.032;1.7;0.3;0.007;8.1;0.0;1.2;0.081;9.0;0.1;0.4;13.5;0.002;39.0;301.5;0.0;20.735
552;kiwifruit gold;Emas Kiwi;51;0.2;0.008;0.099;0.051;12.8;10.0;0.8;1.1;0.0;0.046;66.8;0.091;0.0;0.051;0.058;0.07;0.2;0.4;0.067;130.7;0.0;1.1;0.074;13.8;0.1;0.2;9.7;0.072;20.3;255.2;0.003;0.077;159.686
553;prickly pear raw;Pear Raw Raw;8;0.072;0.0;0.0;0.0;1.9;0.2;0.001;1.0;0.0;0.065;17.0;0.0;0.058;0.0;0.0;0.038;0.04;0.0;0.078;2.1;0.0;0.0;0.018;34.2;0.051;0.021;13.1;0.1;2.1;24.7;0.023;0.073;39.263
554;pineapple;nanas;45;0.1;0.074;0.001;0.087;11.8;8.9;0.5;1.3;0.0;0.099;77.4;0.0;0.0;0.085;0.033;0.0;0.014;0.5;0.2;0.1;43.0;0.0;0.078;0.061;11.7;0.091;0.3;10.8;0.8;7.2;98.1;0.061;13.97
555;rowan;Rowan;253;4.6;0.6;0.0;0.0;54.5;32.1;5.2;14.1;0.0;0.083;162.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.8;0.0;0.0;0.0;34.2;2.4;5.0;73.0;0.4;118.6;298.7;0.0;1.0;176.4
556;muscadine grapes;anggur muscadine;3;0.056;0.0;0.0;0.0;0.8;0.0;0.014;0.2;0.0;0.024;5.1;0.0;0.0;0.046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2;0.023;0.014;0.8;0.1;1.4;12.2;0.0;0.027;3.38
557;heidelbeeren jutro;Heidelbeeren Jutro;17;0.2;0.039;2.5;2.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
558;prunes stewed;Prune direbus;316;0.7;0.085;0.5;0.1;83.2;0.0;3.4;0.0;0.0;0.039;190.4;0.0;0.1;0.0;0.0;0.011;2.8;0.3;0.5;0.0;0.0;0.0;0.0;67.2;0.6;3.3;58.8;0.3;103.6;988.4;0.0;0.7;157.8
559;tangerine;jeruk keprok;40;0.2;0.07;0.097;0.05;10.1;8.0;0.6;1.4;0.0;0.056;64.7;0.0;0.068;0.05;0.0;0.024;0.3;0.2;0.096;20.3;0.0;0.2;0.0;28.1;0.001;0.1;9.1;0.057;15.2;126.2;0.008;0.078;60.8
560;prunes;Prem;237;0.5;0.057;0.3;0.1;62.3;0.0;2.6;0.0;0.0;0.076;2.8;0.0;0.093;0.042;0.0;0.1;2.1;0.3;0.5;0.0;0.0;0.0;0.0;50.4;0.4;2.5;44.8;0.2;78.4;740.6;0.0;0.5;118.3
561;lemon peel;Lemon Peel;1;0.002;0.057;0.024;0.095;0.3;0.054;0.032;0.2;0.0;0.028;1.6;0.0;0.007;0.025;0.0;0.018;0.046;0.055;0.011;2.6;0.0;0.061;0.0;2.7;0.015;0.032;0.3;0.0;0.2;3.2;0.048;0.036;5.934
562;banana;pisang;134;0.5;0.2;0.096;0.1;34.3;18.3;1.6;3.9;0.0;0.055;112.4;0.0;0.0;0.085;0.045;0.0;0.1;1.0;0.5;0.6;13.1;0.0;0.2;0.035;7.5;0.1;0.4;40.5;0.4;33.0;537.0;0.049;41.084
563;raspberries;raspberry;5;0.034;0.005;0.063;0.098;1.2;0.4;0.1;0.7;0.0;0.054;8.6;0.0;0.0;0.067;0.064;0.0;0.074;0.097;0.087;0.068;2.6;0.0;0.025;0.031;2.5;0.034;0.015;2.2;0.017;2.9;15.1;0.028;2.207
564;apricot;aprikot;17;0.1;0.03;0.099;0.028;3.9;3.2;0.5;0.7;0.0;0.02;30.2;0.0;0.0;0.017;0.038;0.0;0.012;0.2;0.09;0.026;3.5;0.0;0.3;0.039;4.6;0.012;0.1;3.5;0.056;8.1;90.7;0.031;5.334
565;strawberry guava;Strawberry Guava;4;0.008;0.039;0.004;0.041;1.0;0.0;0.01;0.3;0.0;0.059;4.8;0.0;0.0;0.0;0.0;0.062;0.064;0.0;0.0;2.2;0.0;0.0;0.0;1.3;0.0;0.071;1.0;0.0;1.6;17.5;0.0;0.0;4.931
566;kiwifruit green;KiwiFruit Green;42;0.4;0.095;0.084;0.2;10.1;6.2;0.8;2.1;0.0;0.096;57.3;0.0;0.0;0.067;0.089;0.0;0.066;0.2;0.1;0.086;64.0;0.0;1.0;0.091;23.5;0.002;0.2;11.7;0.064;23.5;215.3;0.034;13.588
567;figs;ara;37;0.2;0.068;0.008;0.078;9.6;8.1;0.4;1.5;0.0;0.049;39.6;0.0;0.043;0.046;0.0;0.03;0.2;0.2;0.083;1.0;0.0;0.001;0.027;17.5;0.079;0.2;8.5;0.024;7.0;116.0;0.083;0.06;30.4
568;clementine;Clementine;35;0.1;0.0;0.0;0.0;8.9;6.8;0.6;1.3;0.0;0.044;64.1;0.0;0.0;0.052;0.063;0.0;0.06;0.5;0.1;0.018;36.1;0.0;0.1;0.0;22.2;0.093;0.1;7.4;0.035;15.5;131.0;0.0;10.954
569;orange;oranye;86;0.2;0.008;0.099;0.005;21.6;17.2;1.7;4.4;0.0;0.0;159.6;0.0;0.0;0.2;0.08;0.0;0.089;0.5;0.5;0.1;97.9;0.0;0.3;0.0;73.6;0.094;0.2;18.4;0.057;25.8;333.0;0.035;28.073
570;bartlett pear;Bartlett Pear;112;0.3;0.0;0.0;0.0;26.6;17.2;0.7;5.5;0.0;0.047;148.9;0.0;0.051;0.023;0.0;0.018;0.3;0.04;0.01;7.8;0.0;0.2;0.028;15.9;0.1;0.3;10.6;0.091;19.5;178.8;0.044;0.1;57.1
571;red white currants;kismis putih merah;63;0.2;0.043;0.091;0.089;15.5;8.3;1.6;4.8;0.0;0.056;94.0;0.0;0.03;0.016;0.0;0.059;0.1;0.06;0.062;45.9;0.0;0.1;0.093;37.0;0.1;1.1;14.6;0.2;49.3;308.0;0.079;0.3;106.1
572;blueberries;blueberry;84;0.5;0.047;0.043;0.2;21.4;14.7;1.1;3.6;0.0;0.015;124.6;0.0;0.0;0.086;0.074;0.0;0.016;0.6;0.2;0.058;14.4;0.0;0.8;0.041;8.9;0.063;0.4;8.9;0.5;17.8;114.0;0.027;26.767
573;mulberries;Mulberry;6;0.049;0.004;0.016;0.065;1.5;1.2;0.2;0.3;0.0;0.021;13.2;0.0;0.0;0.005;0.092;0.0;0.075;0.013;0.0;0.025;5.5;0.0;0.1;0.074;5.9;0.041;0.3;2.7;0.0;5.7;29.1;0.083;2.163
574;java plum;Java Plum;2;0.029;0.0;0.0;0.0;0.5;0.0;0.034;0.0;0.0;0.063;2.5;0.0;0.051;0.0;0.0;0.058;0.042;0.0;0.075;0.4;0.0;0.0;0.0;0.6;0.0;0.054;0.5;0.0;0.5;2.4;0.0;0.0;1.624
575;prune puree;pure pure;46;0.02;0.038;0.0;0.0;11.7;7.0;0.4;0.6;0.0;0.036;5.4;0.0;0.0;0.053;0.0;0.0;0.0;0.5;0.057;0.0;0.8;0.0;0.0;0.0;5.6;0.0;0.5;0.0;0.0;13.0;153.4;0.0;12.709
576;applesauce;saus apel;102;0.2;0.028;0.036;0.09;27.5;22.9;0.4;2.7;0.0;0.031;215.3;0.0;0.0;0.07;0.029;0.0;0.085;0.2;0.1;0.08;2.4;0.0;0.4;0.043;9.8;0.014;0.6;7.3;0.074;12.2;180.6;0.007;30.923
577;blackberries raw;Blackberry Raw;62;0.7;0.076;0.03;0.4;13.8;7.0;2.0;7.6;0.0;0.05;126.9;0.0;0.03;0.045;0.0;0.054;0.9;0.4;0.037;30.2;0.0;1.7;0.082;41.8;0.2;0.9;28.8;0.9;31.7;233.3;0.008;0.8;97.0
578;plum;prem;30;0.2;0.062;0.003;0.022;7.5;6.5;0.5;0.9;0.0;0.0;57.6;0.0;0.0;0.077;0.036;0.0;0.021;0.3;0.033;0.038;6.3;0.0;0.2;0.047;4.0;0.056;0.1;4.6;0.016;10.6;103.6;0.0;9.21
579;american grapes;anggur Amerika;2;0.087;0.029;0.082;0.074;0.4;0.4;0.035;0.09;0.0;0.056;2.0;0.0;0.06;0.049;0.0;0.025;0.045;0.05;0.061;0.032;0.0;0.027;0.052;0.3;0.094;0.099;0.1;0.1;0.2;4.6;0.03;0.091;0.93
580;peach;persik;59;0.4;0.034;0.1;0.1;14.3;12.6;1.4;2.3;0.0;0.0;133.3;0.0;0.0;0.035;0.004;0.0;0.06;1.2;0.2;0.075;9.9;0.0;1.1;0.042;9.0;0.1;0.4;13.5;0.03;30.0;285.0;0.069;18.643
